"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1164062","occ","","","149752","Massospondylus","genus","38642","Norian","Rhaetian","228","201.3","25375"
"1164071","occ","","","107097","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375"
"1164073","occ","","","149753","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375"
"1164075","occ","","","45796","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375"
"1164077","occ","","","149754","Massospondylus","genus","38642","Hettangian","Sinemurian","201.3","190.8","25375"
"1165711","occ","","","56365","Titanosauria","unranked clade","55585","Late Albian","Early Cenomanian","105.3","93.5","48031"
"1165712","occ","","","117203","Europasaurus holgeri","species","81697","Late Kimmeridgian","","155.7","150.8","48032"
"1165714","occ","","","117203","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","48032"
"1165720","occ","","","117200","Theropoda","unranked clade","38513","Kimmeridgian","","157.3","152.1","48032"
"1165721","occ","","","117200","Sauropoda","unranked clade","38653","Kimmeridgian","","157.3","152.1","48032"
"1165877","occ","","IF","136774","Megalosauripus maximus","species","68295","Late Berriasian","","145","140.2","48035"
"1165902","occ","","","149977","Tyrannosauroidea","superfamily","58837","Cenomanian","Turonian","100.5","89.8","48038"
"1165961","occ","","IF","149978","Grallator lescurei","species","276884","Hettangian","","201.3","199.3","48040"
