"Rayososaurus,"Rayososaurus agrioensis",96.55,96.55
"Undulatoolithus,"Undulatoolithus pengi",83.25,83.25
"Alaskacephale,"Alaskacephale gangloffi",77.05,77.05
"Miophasianus,"Miophasianus medius",10.399999999999999,10.399999999999999
"Catharus","Catharus",0.063,1.05
"Phalacrocorax,"Phalacrocorax varius",0.06885,0.06885
"Coelurosaurichnus,"Coelurosaurichnus sabinensis",219.15,242.1
"Miocepphus,"Miocepphus bohaskai",12.719999999999999,18.205000000000002
"Kundurosaurus,"Kundurosaurus nagornyi",68.3,68.3
"Brachiosaurus","Brachiosaurus",147.9,156.0
"Haematopus","Haematopus",0.00585,4.4665
"Delatorrichnus","Delatorrichnus",198.9,198.9
"Aramornis,"Aramornis longurio",18.2,18.2
"Parafaveoloolithus,"Parafaveoloolithus macroporus",102.44999999999999,102.44999999999999
"Anhinga,"Anhinga anhinga",0.06885,1.29985
"Ornithothoraces","Ornithothoraces",69.05,106.75
"Magnosaurus,"Magnosaurus nethercombensis",170.0,170.0
"Drinker,"Drinker nisti",148.55,151.15
"Diplodocus","Diplodocus",147.9,156.0
"Plateosaurus,"Plateosaurus gracilis",213.78,218.25
"Meleagris,"Meleagris gallopavo",0.00585,1.29985
"Tyrannosaurinae","Tyrannosaurinae",77.05,78.44999999999999
"Incisivosaurus,"Incisivosaurus gauthieri",123.955,123.955
"Aramidae","Aramidae",11.95,11.95
"Empheresula","Empheresula",11.925,11.925
"Hypacrosaurus,"Hypacrosaurus stebingeri",77.05,78.19999999999999
"Nanortyx,"Nanortyx inexpectatus",35.55,35.55
"Tetrapodium,"Tetrapodium elmenhorsti",187.7,187.7
"Pachyrhinosaurus,"Pachyrhinosaurus canadensis",68.3,74.75
"Sahaliyania,"Sahaliyania elunchunorum",68.3,68.3
"Isisaurus","Isisaurus",69.05,69.05
"Leptopterus","Leptopterus",0.00585,0.00585
"Adelalopus","Adelalopus",31.15,31.15
"Cratoavis,"Cratoavis cearensis",119.0,119.0
"Telosichnus,"Telosichnus saltensis",69.05,69.05
"Pelecanus,"Pelecanus sivalensis",3.0940000000000003,3.0940000000000003
"Iguanodon","Iguanodon",97.2,154.7
"Porzana,"Porzana lacustris",3.0940000000000003,3.0940000000000003
"Tatankacephalus,"Tatankacephalus cooneyorum",106.75,106.75
"Aquilops,"Aquilops americanus",104.3,104.3
"Petrochelidon,"Petrochelidon pyrrhonota",0.06885,0.06885
"Eretiscus,"Eretiscus tonnii",18.205000000000002,21.735
"Eousdryosaurus","Eousdryosaurus",150.35,150.35
"Edmontonia","Edmontonia",68.3,77.05
"Yunnanpus,"Yunnanpus huangcaoensis",90.1,90.1
"Palaeastur,"Palaeastur atavus",22.615000000000002,22.615000000000002
"Ilokelesia,"Ilokelesia aguadagrandensis",94.69999999999999,94.69999999999999
"Tyrannosaurus","Tyrannosaurus",68.3,77.05
"Thecodontichnus","Thecodontichnus",218.25,218.25
"Plotornis,"Plotornis graculoides",19.5,19.5
"Abelisaurus,"Abelisaurus comahuensis",77.05,77.05
"Sousaichnium,"Sousaichnium pricei",137.2,137.2
"Anserimimus,"Anserimimus planinychus",69.05,69.05
"Corvipes,"Corvipes lacertoideus",196.05,200.3
"Stegoceras,"Stegoceras validum",77.05,77.85
"Microceratus","Microceratus",74.8,121.2
"Huangshanlong,"Huangshanlong anhuiensis",168.8,168.8
"Aquila,"Aquila pliogryps",1.29985,1.29985
"Aegolius","Aegolius",0.06885,0.06885
"Streptospondylus,"Streptospondylus altdorfensis",160.2,160.2
"Ornithischia","Ornithischia",68.3,232.5
"Orionides","Orionides",158.45,158.45
"Bolong,"Bolong yixianensis",122.75,126.22999999999999
"Camarasaurus,"Camarasaurus agilis",151.15,151.15
"Apodidae","Apodidae",4.4665,4.4665
"Philesturnus,"Philesturnus carunculatus",0.06885,0.06885
"Euoplocephalus","Euoplocephalus",68.3,77.85
"Corythosaurus,"Corythosaurus casuarius",77.05,77.85
"Xixianykus,"Xixianykus zhangi",86.44999999999999,86.44999999999999
"Triceratops,"Triceratops prorsus",68.3,69.05
"Charadrius,"Charadrius obscurus",0.06885,0.06885
"Kuwajimasauropus","Kuwajimasauropus",142.4,142.4
"Pica","Pica",1.29985,1.29985
"Deinonychus,"Deinonychus antirrhopus",106.75,119.0
"Hadrosauridae","Hadrosauridae",68.3,171.2
"Pansphenisciformes","Pansphenisciformes",42.900000000000006,42.900000000000006
"Volkheimeria,"Volkheimeria chubutensis",164.8,164.8
"Acheroraptor,"Acheroraptor temertyorum",68.3,68.3
"Dendrocygninae","Dendrocygninae",4.4665,10.6515
"Larus,"Larus oregonus",0.06885,1.29985
"Aletornis,"Aletornis gracilis",42.900000000000006,42.900000000000006
"Nodosaurus","Nodosaurus",77.05,77.05
"Laevisuchus,"Laevisuchus indicus",69.05,69.05
"Jungornithidae","Jungornithidae",48.099999999999994,48.099999999999994
"Paracathartes,"Paracathartes howardae",52.2,52.2
"Palaeospheniscus,"Palaeospheniscus affinis",18.205000000000002,18.205000000000002
"Limicolavis,"Limicolavis pluvianella",28.465,28.465
"Cygnus,"Cygnus (Olor)",0.00585,1.29985
"Anchisauripus,"Anchisauripus australis",137.5,137.5
"Fregata,"Fregata ariel",0.00585,0.00585
"Histriasaurus,"Histriasaurus boscarollii",130.925,130.925
"Ellipsoolithus,"Ellipsoolithus khedaensis",69.05,69.05
"Unenlagia,"Unenlagia comahuensis",89.65,89.65
"Blikanasaurus,"Blikanasaurus cromptoni",214.65,214.65
"Progura","Progura",1.29985,1.29985
"Devincenzia,"Devincenzia gallinali",25.0,25.0
"Palaeospheniscus,"Palaeospheniscus planus",19.5,19.5
"Linhevenator,"Linhevenator tani",77.85,77.85
"Stictocarbo,"Stictocarbo punctatus",0.06885,0.06885
"Totanus","Totanus",0.06885,1.29985
"Primobucco,"Primobucco frugilegus",44.5,44.5
"Branta,"Branta hylobadistes",0.00585,0.06885
"Cimolopteryx,"Cimolopteryx maxima",68.3,68.3
"Dromaeopodus,"Dromaeopodus shandongensis",114.95,114.95
"Spinosauridae","Spinosauridae",91.4,151.15
"Nodosaurus,"Nodosaurus textilis",96.55,96.55
"Picidae","Picidae",0.063,2.6723500000000002
"Pseudocepphus,"Pseudocepphus teres",14.895,14.895
